,index,Index,主要建材,主要用途,交易月份,交易標的,土地,建物,車位,土地移轉總面積(平方公尺),建物型態,建物現況格局-廳,建物現況格局-房,建物現況格局-衛,建物現況格局-隔間,建物移轉總面積(平方公尺),有無管理組織,移轉層次,總樓層數,都市土地使用分區,鄉鎮市區,num_of_bus_stations_in_100m,income_avg,income_var,location_type,low_use_electricity,nearest_tarin_station,nearest_tarin_station_distance,lat,lng
0,count,66403.0,59636,57626,66403.0,66403,66403,66403,66403,66403.0,66403,66403.0,66403.0,66403.0,66403,66403.0,66403,59444,59494.0,65808,66403,66399.0,66057.0,66057.0,66399,66057.0,66399,66399.0,66399.0,66399.0
1,mean,19256.330000150596,,,7.094679457253437,,,,,57.55199825309088,,1.3265213921057784,2.1006129241148743,1.3318524765447344,,134.5145070252823,,,4.808215954550039,,,2.236178255696622,1298.023010430386,230.20620524696204,,0.07817885916708998,,623.3259696398505,25.05583775193942,121.5438294578994
2,std,13152.768447318069,,,3.5877175153784266,,,,,576.8840299762775,,0.9402527459644617,1.851375058313125,1.283162542963553,,478.2134670895063,,,2.401904454668004,,,1.5760979189293585,499.0777984637455,250.32364044790873,,0.04952256320590996,,511.26693979532314,0.03682693738926387,0.03190826467252597
3,min,0.0,,,1.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,1.0,,,0.0,682.0,81.63,,0.016399999999999998,,0.0,24.965286,121.4646572
4,25%,8300.0,,,4.0,,,,,11.54,,1.0,1.0,1.0,,53.045,,,3.0,,,1.0,1005.0,114.61,,0.045599999999999995,,298.4185125,25.0329694,121.519021
5,50%,16600.0,,,7.0,,,,,23.9,,2.0,2.0,1.0,,98.14,,,5.0,,,2.0,1133.0,150.76,,0.065,,495.0859737,25.0517846,121.5412362
6,75%,29880.5,,,10.0,,,,,37.0,,2.0,3.0,2.0,,154.81,,,7.0,,,3.0,1446.0,245.29,,0.0894,,751.6282385,25.0774931,121.5654177
7,max,46481.0,,,12.0,,,,,102554.98,,80.0,168.0,174.0,,69125.53,,,10.0,,,10.0,6598.0,2403.41,,0.36869999999999997,,6007.08556,25.1728123,121.6242235
8,unique,,17,11,,4,34,26,47,,9,,,,2,,2,393,,5,12,,,,4,,84,,,
9,top,,鋼筋混凝土造,住家用,,房地(土地+建物),1,1,0,,住宅大樓(11層含以上有電梯),,,,有,,有,三層,,住,中山區,,,,ROOFTOP,,台北101/世貿中心站,,,
10,freq,,51533,43557,,38617,48055,57461,45944,,18990,,,,59988,,36137,7159,,38069,9271,,,,45701,,4082,,,
