Index,price_per_ping
0,290990
1,255591
2,132330
3,145319
4,36528
5,246556
6,260974
7,176264
8,182030
9,138303
10,198036
11,229296
12,171701
13,173665
14,224597
15,121148
16,431217
17,241821
18,70017
19,207953
20,111155
21,399365
22,63852
23,185421
24,40187
25,167709
26,53043
27,406452
28,60975
29,232699
30,84671
31,0
32,86861
33,88747
34,295652
35,199423
36,201300
37,129049
38,96326
39,140400
40,196970
41,22198
42,193470
43,202690
44,558805
45,273752
46,55389
47,200567
48,177521
49,182238
50,109403
51,508386
52,207743
53,271853
54,59885
55,134895
56,209828
57,171317
58,204955
59,90246
60,210615
61,124312
62,81038
63,168616
64,127720
65,9699
66,288734
67,172994
68,29259
69,112175
70,213855
71,44064
72,160485
73,287839
74,358536
75,154567
76,158824
77,226098
78,88320
79,168593
80,172081
81,69856
82,114679
83,231272
84,237705
85,147250
86,322252
87,127579
88,146771
89,110884
90,206438
91,212503
92,314961
93,201275
94,104256
95,190068
96,142547
97,287264
98,25882
99,143247
100,557258
101,141809
102,102272
103,75723
104,19054
105,164399
106,272776
107,29515
108,235761
109,470852
110,122891
111,103279
112,159535
113,162707
114,20063
115,277627
116,182807
117,0
118,19490
119,152023
120,102450
121,48095
122,166753
123,11672
124,124672
125,189927
126,306513
127,72074
128,176843
129,123591
130,60493
131,222637
132,215354
133,131805
134,194990
135,5818
136,62466
137,209031
138,151862
139,144492
140,203318
141,162171
142,265919
143,141700
144,108250
145,200627
146,178495
147,186193
148,247934
149,323859
150,146005
151,0
152,292193
153,136082
154,171382
155,149869
156,230933
157,106861
158,184242
159,90461
160,168650
161,136986
162,71521
163,414094
164,130066
165,203064
166,1251
167,267885
168,235481
169,88265
170,346021
171,185516
172,137024
173,323311
174,158010
175,232781
176,105879
177,87379
178,195922
179,158598
180,179732
181,383447
182,57095
183,179428
184,260287
185,65225
186,123133
187,363000
188,275406
189,379195
190,362002
191,135738
192,205145
193,97680
194,116847
195,120518
196,303067
197,88701
198,249992
199,118577
200,223700
201,0
202,199622
203,169346
204,330172
205,198428
206,180561
207,117401
208,29592
209,235533
210,152367
211,197849
212,148834
213,106965
214,264614
215,251611
216,164109
217,282897
218,207101
219,237152
220,213158
221,300341
222,102756
223,117066
224,129791
225,271896
226,403882
227,533271
228,4538
229,119415
230,157090
231,176360
232,205296
233,60665
234,356935
235,373714
236,72338
237,329929
238,60094
239,128754
240,174436
241,256410
242,55603
243,240618
244,216499
245,59511
246,0
247,147571
248,169306
249,134825
250,215751
251,318997
252,39320
253,203910
254,184109
255,18150
256,98907
257,208589
258,124937
259,172441
260,154379
261,211981
262,141584
263,150875
264,218423
265,42925
266,254025
267,309829
268,161167
269,50631
270,71071
271,109777
272,132488
273,177677
274,363890
275,126446
276,98012
277,212057
278,130065
279,0
280,115919
281,256684
282,222595
283,164082
284,172524
285,144422
286,178749
287,154635
288,126642
289,222007
290,122479
291,188735
292,127350
293,47277
294,294254
295,232993
296,54642
297,30307
298,213650
299,95859
300,209292
301,291112
302,196491
303,330275
304,111669
305,124029
306,275321
307,0
308,308246
309,154304
310,125856
311,190344
312,101191
313,58173
314,217460
315,46360
316,222152
317,227112
318,164586
319,121009
320,132432
321,356313
322,175041
323,86449
324,256840
325,423521
326,36720
327,226874
328,124989
329,276576
330,121172
331,107703
332,242331
333,671667
334,311864
335,147856
336,448179
337,161217
338,165784
339,139715
340,142177
341,81098
342,362954
343,85106
344,140974
345,112092
346,110889
347,144292
348,318725
349,126152
350,120672
351,353361
352,198643
353,151250
354,112662
355,57751
356,211762
357,130951
358,180595
359,161011
360,338500
361,201388
362,243696
363,287381
364,162443
365,135488
366,250096
367,222222
368,224000
369,147239
370,171162
371,188797
372,100140
373,151880
374,522330
375,185713
376,266539
377,134904
378,190438
379,50087
380,183497
381,254009
382,93194
383,198711
384,327389
385,141627
386,99862
387,192510
388,120482
389,171452
390,305070
391,38242
392,199366
393,216831
394,132544
395,273373
396,165533
397,186019
398,116128
399,269060
400,172965
401,91996
402,84680
403,82021
404,251102
405,142257
406,121179
407,80586
408,102695
409,187441
410,172425
411,228288
412,195343
413,210128
414,221305
415,144384
416,139554
417,299495
418,52030
419,246100
420,242773
421,90745
422,209350
423,268505
424,0
425,173000
426,201577
427,226371
428,251884
429,87431
430,33357
431,317073
432,155150
433,265114
434,138597
435,181358
436,75301
437,121167
438,230938
439,304073
440,220852
441,116366
442,201439
443,359429
444,213806
445,109875
446,110366
447,257703
448,64900
449,46071
450,166293
451,230712
452,313990
453,145205
454,274692
455,180309
456,129154
457,54612
458,48829
459,200835
460,293379
461,293875
462,436121
463,18150
464,219267
465,453579
466,68989
467,170014
468,56070
469,254824
470,158129
471,238459
472,183562
473,323404
474,199592
475,231392
476,65182
477,246148
478,31894
479,176350
480,168801
481,219513
482,226674
483,199066
484,220290
485,232598
486,177578
487,138462
488,174156
489,182941
490,78816
491,157571
492,48229
493,163880
494,177276
495,136929
496,263132
497,159163
498,130163
499,252685
500,180240
501,76046
502,279896
503,148148
504,318707
505,136643
506,74098
507,139303
508,130050
509,93750
510,242296
511,205725
512,127808
513,146573
514,186975
515,291027
516,356506
517,299235
518,129336
519,161626
520,128919
521,173990
522,67318
523,249027
524,238516
525,109769
526,232169
527,266567
528,87142
529,269327
530,178547
531,183981
532,198524
533,361669
534,266173
535,116751
536,149651
537,1395
538,186085
539,125496
540,134372
541,122323
542,93496
543,131234
544,182869
545,244045
546,198507
547,166028
548,546935
549,142979
550,203246
551,87186
552,194082
553,223865
554,369276
555,681863
556,211606
557,167984
558,178310
559,164510
560,133539
561,144252
562,254118
563,248132
564,144687
565,86658
566,157305
567,172038
568,102712
569,192681
570,188904
571,111568
572,235853
573,258874
574,225989
575,140275
576,54604
577,463000
578,228411
579,86074
580,170940
581,18795
582,189394
583,258840
584,253395
585,314900
586,192985
587,186937
588,81673
589,117564
590,283519
591,80053
592,168637
593,156264
594,118101
595,198920
596,473662
597,194549
598,328233
599,187449
600,121836
601,109603
602,75546
603,309598
604,130073
605,175470
606,135380
607,196676
608,195373
609,161320
610,102233
611,137237
612,105659
613,149357
614,154379
615,225225
616,110826
617,65461
618,118696
619,140773
620,151366
621,177875
622,175421
623,173028
624,64433
625,146413
626,145775
627,384938
628,125493
629,188139
630,113137
631,181917
632,276162
633,141710
634,36006
635,53256
636,211736
637,154405
638,195915
639,97195
640,2377
641,311462
642,205392
643,18007
644,193028
645,66960
646,142969
647,160420
648,153780
649,128846
650,201313
651,246541
652,129062
653,126908
654,195215
655,165975
656,111623
657,0
658,112718
659,28530
660,89928
661,130930
662,182598
663,156030
664,270064
665,199652
666,158900
667,111629
668,181553
669,124368
670,150860
671,54625
672,134280
673,145084
674,225700
675,299587
676,303693
677,115902
678,32130
679,145019
680,232463
681,220794
682,166099
683,252862
684,358289
685,70902
686,382568
687,142023
688,177147
689,498967
690,189742
691,38732
692,60322
693,60989
694,103073
695,238226
696,174105
697,130341
698,89244
699,234338
700,93197
701,125436
702,80539
703,152171
704,143195
705,75032
706,83144
707,30150
708,292849
709,286515
710,310010
711,710857
712,301644
713,62642
714,161615
715,115908
716,76433
717,156446
718,36939
719,155065
720,389539
721,281138
722,158439
723,63139
724,192968
725,272919
726,282194
727,173749
728,264838
729,117686
730,173448
731,85679
732,329109
733,228517
734,173004
735,1459428
736,209614
737,201884
738,111145
739,213925
740,153749
741,131091
742,252398
743,276008
744,135017
745,169699
746,310811
747,246799
748,99340
749,11504
750,203252
751,168367
752,128538
753,154435
754,97987
755,205951
756,142509
757,249910
758,255027
759,191949
760,184434
761,217682
762,116478
763,289387
764,138796
765,139755
766,149880
767,148292
768,163855
769,174280
770,169033
771,257872
772,154274
773,105102
774,112990
775,155371
776,95762
777,130914
778,90313
779,41724
780,172460
781,1210154
782,63764
783,234506
784,177570
785,156065
786,155380
787,158106
788,218485
789,272149
790,100590
791,211301
792,156723
793,252278
794,450120
795,286365
796,93708
797,143048
798,242216
799,285714
800,175732
801,20659
802,685225
803,122523
804,227664
805,200847
806,152927
807,75707
808,177801
809,315152
810,114699
811,96680
812,261494
813,194489
814,145251
815,47918
816,208055
817,165029
818,166403
819,52917
820,91831
821,189334
822,105389
823,168257
824,168035
825,175078
826,170116
827,176411
828,295029
829,282615
830,233383
831,113236
832,209546
833,147846
834,162929
835,206434
836,153361
837,0
838,186139
839,200304
840,137136
841,165913
842,148214
843,84012
844,173228
845,139735
846,176824
847,158243
848,211731
849,157367
850,240
851,162383
852,915
853,158874
854,1122449
855,128581
856,164833
857,172786
858,201198
859,63526
860,269724
861,134059
862,136204
863,137411
864,194989
865,150150
866,134189
867,250627
868,414495
869,214209
870,105150
871,170217
872,215165
873,178204
874,95730
875,119295
876,514206
877,44323
878,195057
879,221426
880,321241
881,237958
882,115979
883,309306
884,136248
885,320644
886,204086
887,206746
888,244848
889,163881
890,132115
891,136091
892,35233
893,202574
894,200826
895,145985
896,374842
897,144187
898,131441
899,145816
900,65250
901,45361
902,257281
903,134080
904,200689
905,112367
906,214117
907,192884
908,179091
909,167346
910,173031
911,72430
912,184158
913,151674
914,167765
915,107361
916,251283
917,180170
918,106283
919,292740
920,119444
921,256613
922,145110
923,91316
924,226897
925,205392
926,195952
927,229748
928,182004
929,186776
930,120370
931,125033
932,274377
933,57650
934,103043
935,161248
936,175053
937,149818
938,169562
939,206612
940,196586
941,121051
942,153438
943,157899
944,152064
945,212349
946,216017
947,160032
948,110903
949,192388
950,191611
951,326601
952,137986
953,145761
954,63280
955,203953
956,222825
957,280477
958,227936
959,96466
960,153113
961,246190
962,148245
963,205882
964,202760
965,354040
966,226910
967,165533
968,116156
969,172120
970,103430
971,309960
972,166207
973,250134
974,227756
975,123562
976,220222
977,79074
978,168709
979,287432
980,177190
981,133118
982,237296
983,375904
984,237905
985,95185
986,173002
987,243029
988,204223
989,278207
990,175388
991,187706
992,232955
993,136094
994,184035
995,136906
996,161353
997,121677
998,167034
999,187546
1000,212943
1001,140481
1002,167823
1003,91004
1004,93558
1005,109076
1006,171053
1007,166917
1008,185394
1009,126189
1010,92205
1011,526882
1012,229990
1013,183824
1014,193705
1015,88222
1016,192762
1017,100990
1018,118964
1019,194880
1020,93762
1021,114913
1022,105345
1023,119540
1024,167787
1025,143900
1026,241767
1027,231398
1028,165906
1029,134373
1030,63052
1031,229233
1032,189222
1033,102708
1034,220853
1035,190999
1036,68415
1037,152869
1038,121359
1039,627308
1040,116764
1041,205535
1042,236392
1043,149434
1044,139594
1045,152980
1046,171741
1047,153521
1048,160777
1049,117353
1050,67507
1051,399723
1052,48399
1053,159145
1054,299577
1055,144669
1056,378176
1057,251042
1058,671087
1059,354959
1060,401704
1061,97917
1062,320908
1063,457522
1064,190965
1065,162090
1066,197482
1067,110000
1068,367465
1069,270171
1070,219303
1071,188965
1072,48606
1073,345007
1074,206165
1075,129061
1076,168670
1077,341863
1078,115183
1079,139100
1080,150931
1081,223168
1082,220776
1083,224230
1084,165995
1085,262549
1086,217888
1087,236698
1088,16167
1089,384181
1090,144079
1091,80157
1092,198427
1093,242718
1094,100024
1095,78947
1096,113674
1097,115531
1098,208475
1099,162584
1100,273896
1101,179108
1102,165094
1103,321359
1104,199720
1105,160913
1106,78
1107,199027
1108,247889
1109,119171
1110,25700
1111,212029
1112,306197
1113,61100
1114,152068
1115,280272
1116,480377
1117,188559
1118,329302
1119,129044
1120,321311
1121,208342
1122,133351
1123,177676
1124,136762
1125,167029
1126,22820
1127,197231
1128,73710
1129,88542
1130,257109
1131,134785
1132,309006
1133,350837
1134,96834
1135,218070
1136,152832
1137,57943
1138,166776
1139,185007
1140,147284
1141,280148
1142,162226
1143,108039
1144,432331
1145,211564
1146,199538
1147,0
1148,121777
1149,82521
1150,167450
1151,237007
1152,574439
1153,3044
1154,216038
1155,282635
1156,207909
1157,237887
1158,256840
1159,73733
1160,217296
1161,99052
1162,128829
1163,134790
1164,136535
1165,321953
1166,132406
1167,220545
1168,344766
1169,212618
1170,194081
1171,79161
1172,79185
1173,272164
1174,901450
1175,204458
1176,191980
1177,149341
1178,120979
1179,190192
1180,147229
1181,224839
1182,193979
1183,137896
1184,61124
1185,10628
1186,120226
1187,135735
1188,158227
1189,245714
1190,188275
1191,194796
1192,191424
1193,247073
1194,145603
1195,185309
1196,181628
1197,679463
1198,147219
1199,60843
1200,251623
1201,428844
1202,145349
1203,126615
1204,24159
1205,173797
1206,266966
1207,87747
1208,137022
1209,265406
1210,168620
1211,268218
1212,186022
1213,144417
1214,159639
1215,71264
1216,123011
1217,138367
1218,293988
1219,218182
1220,178029
1221,201996
1222,94481
1223,119051
1224,244108
1225,1120434
1226,210307
1227,293909
1228,144984
1229,187545
1230,220327
1231,151078
1232,228437
1233,44565
1234,157025
1235,157738
1236,38592
1237,298729
1238,189295
1239,109379
1240,227121
1241,120773
1242,314553
1243,180567
1244,260192
1245,71078
1246,262180
1247,170270
1248,146510
1249,257152
1250,203366
1251,123468
1252,103461
1253,34270
1254,274157
1255,180991
1256,160688
1257,151989
1258,154275
1259,468211
1260,198675
1261,237943
1262,131170
1263,0
1264,151055
1265,425332
1266,133351
1267,54604
1268,96417
1269,127553
1270,111897
1271,178827
1272,54604
1273,153192
1274,185615
1275,354204
1276,158184
1277,142154
1278,260988
1279,242601
1280,124607
1281,104159
1282,853659
1283,142331
1284,176725
1285,158153
1286,423461
1287,57842
1288,137363
1289,181845
1290,149854
1291,211189
1292,143113
1293,216907
1294,233014
1295,276153
1296,324507
1297,804215
1298,185061
1299,28889
1300,198358
1301,203680
1302,423452
1303,150841
1304,165045
1305,208746
1306,216004
1307,127253
1308,128156
1309,170155
1310,471436
1311,151356
1312,163071
1313,112570
1314,149707
1315,148240
1316,102360
1317,153504
1318,4000
1319,133717
1320,35299
1321,220806
1322,110061
1323,263918
1324,274511
1325,218960
1326,260868
1327,3700
1328,330845
1329,175914
1330,222817
1331,160356
1332,116729
1333,98481
1334,544501
1335,238042
1336,268859
1337,318207
1338,26910
1339,138889
1340,186741
1341,123217
1342,214457
1343,218511
1344,790
1345,266264
1346,143808
1347,133996
1348,293038
1349,4400
1350,272134
1351,143698
1352,81444
1353,62323
1354,148941
1355,170169
1356,238791
1357,228111
1358,37752
1359,57472
1360,151226
1361,208078
1362,85416
1363,307566
1364,189908
1365,46000
1366,205691
1367,158726
1368,56275
1369,181471
1370,139141
1371,0
1372,198544
1373,149826
1374,103166
1375,86313
1376,173000
1377,204706
1378,213222
1379,126930
1380,172679
1381,0
1382,185701
1383,128308
1384,91694
1385,374435
1386,249117
1387,388306
1388,847764
1389,197894
1390,101883
1391,132345
1392,143072
1393,63564
1394,152117
1395,129993
1396,103135
1397,247978
1398,114596
1399,64632
1400,178110
1401,55303
1402,145518
1403,84116
1404,13686
1405,246164
1406,32856
1407,157608
1408,186283
1409,172144
1410,199458
1411,159462
1412,387185
1413,198099
1414,187319
1415,92154
1416,154154
1417,229557
1418,181378
1419,319786
1420,195001
1421,161858
1422,173429
1423,265861
1424,312524
1425,218794
1426,163350
1427,133985
1428,141867
1429,355133
1430,182216
1431,133901
1432,196986
1433,251388
1434,194823
1435,228694
1436,317580
1437,40460
1438,162120
1439,119556
1440,214059
1441,191684
1442,307143
1443,95434
1444,182617
1445,156412
1446,184314
